Position,First Name,Last Name,Team,Salary
QB,Marcus,Mariota,WAS,4200
QB,Jeff,Driskel,WAS,4200
QB,Jayden,Daniels,WAS,6800
QB,Daniel,Jones,NYG,5000
QB,Drew,Lock,NYG,4200
QB,Tommy,DeVito,NYG,4200
QB,Taylor,Heinicke,LAC,4200
QB,Easton,Stick,LAC,4200
QB,Justin,Herbert,LAC,5000
QB,Jameis,Winston,CLE,4600
QB,Dorian,Thompson-Robinson,CLE,4400
QB,Bailey,Zappe,CLE,4200
QB,Tyler,Huntley,MIA,4200
QB,Skylar,Thompson,MIA,4200
QB,Mitchell,Trubisky,BUF,4200
QB,Josh,Allen,BUF,7000
QB,Tua,Tagovailoa,MIA,5400
QB,Dak,Prescott,DAL,6000
QB,Cooper,Rush,DAL,4200
QB,Trey,Lance,DAL,4200
QB,Kirk,Cousins,ATL,6000
QB,Michael,Penix Jr.,ATL,4200
QB,Derek,Carr,NO,5200
QB,Jake,Haener,NO,4200
QB,Spencer,Rattler,NO,4200
QB,Andy,Dalton,CAR,4200
QB,Bryce,Young,CAR,4200
QB,Jack,Plummer,CAR,4200
QB,Jacoby,Brissett,NE,4200
QB,Drake,Maye,NE,4600
QB,Joe,Milton III,NE,4200
QB,Mason,Rudolph,TEN,4200
QB,Will,Levis,TEN,4200
QB,Trevor,Siemian,TEN,4200
QB,Gardner,Minshew II,LV,4200
QB,Jake,Browning,CIN,4200
QB,Joe,Burrow,CIN,6200
QB,Desmond,Ridder,LV,4200
QB,Carter,Bradley,LV,4200
QB,Jarrett,Stidham,DEN,4200
QB,Zach,Wilson,DEN,4200
QB,Bo,Nix,DEN,6200
QB,Josh,Johnson,BAL,4200
QB,Lamar,Jackson,BAL,7800
QB,Tyson,Bagent,CHI,4200
QB,Caleb,Williams,CHI,6000
QB,Kyler,Murray,ARI,6200
QB,Clayton,Tune,ARI,4200
QB,Jared,Goff,DET,5800
QB,Hendon,Hooker,DET,4200
QB,Jordan,Love,GB,6000
QB,Malik,Willis,GB,4200
QB,Matthew,Stafford,LA,4800
QB,Jimmy,Garoppolo,LA,4200
QB,Stetson,Bennett,LA,4200
QB,Geno,Smith,SEA,5800
QB,Sam,Howell,SEA,4200
QB,Trevor,Lawrence,JAC,5800
QB,Mac,Jones,JAC,4200
QB,Jalen,Hurts,PHI,6400
QB,Kenny,Pickett,PHI,4200
QB,Tanner,McKee,PHI,4200
RB,Jeremy,McNichols,WAS,2200
RB,Austin,Ekeler,WAS,3600
RB,Brian,Robinson Jr.,WAS,5400
RB,Devin,Singletary,NYG,4200
RB,Eric,Gray,NYG,2200
RB,Tyrone,Tracy Jr.,NYG,3600
RB,J.K.,Dobbins,LAC,5400
RB,Hassan,Haskins,LAC,2200
RB,Scott,Matlock,LAC,2200
RB,Kimani,Vidal,LAC,2200
RB,D'Onta,Foreman,CLE,2200
RB,Pierre,Strong Jr.,CLE,2200
RB,Jerome,Ford,CLE,3400
RB,Nick,Chubb,CLE,3800
RB,Nyheim,Hines,CLE,2200
RB,Raheem,Mostert,MIA,4200
